,Mass
145,-0.11918640771920865
146,-0.05060999335508721
147,0.03342375548694973
148,-0.08618614761628333
149,-0.4089353929735008
150,-0.3979400086720376
151,-0.3979400086720376
152,-0.38721614328026455
153,-0.3467874862246563
154,-0.3467874862246563
155,-0.3279021420642826
156,-0.20760831050174613
157,-0.1804560644581313
158,-0.16749108729376366
159,-0.16115090926274472
160,-0.16115090926274472
161,-0.09691001300805639
162,-0.09151498112135022
163,-0.05060999335508721
164,0.004321373782642578
165,0.11394335230683679
166,-0.09151498112135022
167,-0.42021640338318983
168,-0.3010299956639812
169,-0.2596373105057561
170,-0.17392519729917355
171,-0.1549019599857432
172,-0.11350927482751812
173,-0.022276394711152253
174,0.07188200730612536
175,0.07918124604762482
176,-0.37675070960209955
177,-0.26760624017703144
178,-0.3467874862246563
179,-0.3010299956639812
180,-0.3010299956639812
181,-0.3010299956639812
182,-0.28399665636520083
183,-0.2596373105057561
184,-0.1804560644581313
185,-0.11918640771920865
186,-0.026872146400301365
187,-0.022276394711152253
188,0.021189299069938092
189,0.06445798922691845
190,-0.18708664335714442
191,-0.3979400086720376
192,-0.3372421683184259
193,-0.3187587626244128
194,-0.2924298239020636
195,-0.2218487496163564
196,-0.1366771398795441
197,-0.060480747381381476
198,-0.036212172654444715
199,-0.004364805402450088
200,0.11727129565576427
201,-0.18708664335714442
202,-0.1366771398795441
203,-0.3372421683184259
204,-0.2596373105057561
205,-0.23657200643706275
206,-0.16749108729376366
207,-0.1366771398795441
208,-0.07058107428570728
209,-0.040958607678906384
210,-0.03151705144606486
211,0.11727129565576427
212,-0.3565473235138126
213,-0.10237290870955855
214,-0.38721614328026455
215,-0.38721614328026455
216,-0.37675070960209955
217,-0.3467874862246563
218,-0.3372421683184259
219,-0.3279021420642826
220,-0.3098039199714863
221,-0.26760624017703144
222,-0.16749108729376366
223,-0.16115090926274472
224,-0.1366771398795441
225,-0.05060999335508721
226,0.04139268515822508
227,-0.585026652029182
228,-0.4559319556497244
229,-0.3098039199714863
230,-0.3979400086720376
231,-0.38721614328026455
232,-0.36653154442041347
233,-0.3279021420642826
