,avg_ids,Teff,parallax,parallax_error,m336,m439,m656,m814,m435,m555,m658,m775,m850,m110,m160,m130,m139,e336,e439,e656,e814,e435,e555,e658,e775,e850,e110,e160,e130,e139,f_m336,f_m439,f_m656,f_m814
485,1020.0,,,,,,,,22.743499080833097,22.512711508693,18.575366923423797,22.24609762899844,21.57125644502988,,,19.8843,19.5637,,,,,0.0139612512191126,0.0142594731430693,0.0108672119259814,0.0143796815568605,0.0149037881764275,,,0.0705351,0.0294708,,,,
486,1023.0,,,,,,,,,,24.33375067077072,24.152202511813567,22.601780012193764,20.79,19.22,19.9784,19.7895,,,,,,,2.4397985278965257,0.0861761640463068,0.0450913041868619,0.205,0.146,0.113673,0.0332497,,,,
487,1025.0,3415.0,2.277733555877412,0.10081519,19.3889,18.5306,14.8847,14.3074,19.244574078153864,,16.16142927029309,,,,,12.5787,12.5079,0.0378,0.0294,0.0142,0.0114,0.0014204994467182,,0.0020046677629555,,,,,0.0186275,0.0200318,1.0,1.0,1.0,1.0
488,1027.0,3056.0,2.391870758347169,0.11875631,,,,,21.70753208447628,20.28553061146385,18.214122994176293,17.090088941693107,16.009074643398073,,,,,,,,,0.0069936486842021,0.0034799014141935,0.0080123722015344,0.000915799376776,0.0008575987444129,,,,,,,,
489,1028.0,,,,,,,,26.760221975775945,26.302366836594747,23.60722632955165,24.00021686770944,22.808579522461088,,,20.1207,19.855,,,,,0.4949404902541997,0.4014970300059727,0.8926982975199454,0.0639989551774489,0.0422963520232884,,,0.0444539,0.0166955,,,,
490,1030.0,,2.394707825927321,0.5571211,,,,,,24.190586276706924,20.399372858519044,19.67816006967239,18.279870834000423,,,,,,,,,,0.0685155075640555,0.0465489784703564,0.0036194127724775,0.0030994078383001,,,,,,,,
491,1031.0,2794.0,2.373858949106564,0.20433736,,,18.0499,16.3883,23.08995650056601,21.41868133941416,19.193517390419025,17.606158869188434,16.266556802904226,,,13.8748,14.1496,21.9283,22.3118,0.0881,0.0195,0.0156296483782902,0.0049279455209649,0.0164133132296106,0.0005952350086557,0.0004915314185253,,,0.0157589,0.0188572,2.0,2.0,1.0,1.0
492,1035.0,3669.0,1.3774107758097696,0.146127,,,,,23.44602809260156,20.911482993214207,18.80169301040679,,,14.41,12.5,,,,,,,0.0302089798174438,0.0052913901677008,0.0126361247429668,,,0.011,0.007,,,,,,
493,1036.0,,,,,,,,,,,24.348036398425503,22.93599489651284,,,,,,,,,,,,0.0887811464087989,0.0430647426978015,,,,,,,,
494,1038.0,,,,,,,,22.70587777295681,22.28558586761814,18.57988864653681,22.195259254512443,21.51722029009989,,,19.0662,18.8098,,,,,0.0201160021482312,0.0167443005921211,0.0150314120654753,0.014710507274545,0.0131434961836606,,,0.0375522,0.013283,,,,
495,1042.0,2816.0,2.562004159962159,0.17025961,21.8204,,17.231,16.235,22.42984428099672,20.83626338286132,18.390163896495903,17.362867647024917,16.20739906187047,,,13.9405,14.0869,0.1937,21.7048,0.069,0.021,0.010782798747567,0.003606243541701,0.010404932451476,0.0005351794234256,0.0004810524841677,,,0.0197389,0.0136557,1.0,2.0,1.0,1.0
